experiment,point,run,seed,method,n,m,d_or_h,k,total_s,ari,nmi,t_kmeans,t_affinity,t_spectral,t_propagate,t_laplacian,t_eigen,t_spectral_kmeans,status,error
n,500000,1,22189,cpu_16,500000,250,64,10,9.859294652938843,0.7994723492477018,0.8956137518725368,,,,,,,,ok,
n,500000,1,22189,cpu_36,500000,250,64,10,6.468667507171631,0.7946733008557517,0.8959469024497991,,,,,,,,ok,
n,500000,2,22190,cpu_4,500000,250,64,10,34.04101490974426,0.7880784357524997,0.8982799713243603,,,,,,,,ok,
n,500000,2,22190,cpu_8,500000,250,64,10,17.574552536010742,0.8092280546693996,0.9009095030455494,,,,,,,,ok,
n,500000,2,22190,cpu_16,500000,250,64,10,9.875707149505615,0.8041749902963095,0.9047936617571555,,,,,,,,ok,
n,500000,2,22190,cpu_36,500000,250,64,10,6.4135191440582275,0.7787087238534062,0.8885525030528956,,,,,,,,ok,
n,500000,3,22191,cpu_4,500000,250,64,10,33.97805213928223,0.8311479812563816,0.9049394308873027,,,,,,,,ok,
n,500000,3,22191,cpu_8,500000,250,64,10,17.58655285835266,0.8246838703155501,0.8930979752193317,,,,,,,,ok,
n,500000,3,22191,cpu_16,500000,250,64,10,9.83052372932434,0.8104349406686185,0.9113103009027895,,,,,,,,ok,
n,500000,3,22191,cpu_36,500000,250,64,10,6.45017409324646,0.8841331579729088,0.9238525100781829,,,,,,,,ok,
n,500000,4,22192,cpu_4,500000,250,64,10,34.09090304374695,0.8686564963665472,0.9477297921752695,,,,,,,,ok,
n,500000,4,22192,cpu_8,500000,250,64,10,17.57565212249756,0.7039310073071124,0.8592145129444757,,,,,,,,ok,
n,500000,4,22192,cpu_16,500000,250,64,10,9.84746789932251,0.7830758838290602,0.8974683294660616,,,,,,,,ok,
n,500000,4,22192,cpu_36,500000,250,64,10,6.453759670257568,0.8471400945063925,0.9233727760836257,,,,,,,,ok,
n,1000000,0,22188,cpu_4,1000000,250,64,10,68.44005560874939,0.7658148995511308,0.9037710264210598,,,,,,,,ok,
n,1000000,0,22188,cpu_8,1000000,250,64,10,35.511961460113525,0.9547084407670807,0.9697946818593474,,,,,,,,ok,
n,1000000,0,22188,cpu_16,1000000,250,64,10,20.283323764801025,0.805443819181236,0.9062827982010292,,,,,,,,ok,
n,1000000,0,22188,cpu_36,1000000,250,64,10,13.523110389709473,0.9625122537526987,0.9737270874090921,,,,,,,,ok,
n,1000000,1,22189,cpu_4,1000000,250,64,10,68.32385396957397,0.8383830055362483,0.92266684803406,,,,,,,,ok,
n,1000000,1,22189,cpu_8,1000000,250,64,10,35.57921767234802,0.9778415079106539,0.9851276288327931,,,,,,,,ok,
n,1000000,1,22189,cpu_16,1000000,250,64,10,19.98133134841919,0.8353156716857197,0.9214323427984684,,,,,,,,ok,
n,1000000,1,22189,cpu_36,1000000,250,64,10,13.439215183258057,0.9741763057968189,0.9833760532046572,,,,,,,,ok,
n,1000000,2,22190,cpu_4,1000000,250,64,10,68.39275097846985,0.9767945654117935,0.9846206448515328,,,,,,,,ok,
n,1000000,2,22190,cpu_8,1000000,250,64,10,35.546414852142334,0.9808954118173995,0.9866730759036397,,,,,,,,ok,
n,1000000,2,22190,cpu_16,1000000,250,64,10,19.842557668685913,0.8175364373677201,0.9174379547764432,,,,,,,,ok,
n,1000000,2,22190,cpu_36,1000000,250,64,10,13.453886032104492,0.8699093826767161,0.9482149477462247,,,,,,,,ok,
n,1000000,3,22191,cpu_4,1000000,250,64,10,68.37551498413086,0.792718166003528,0.9092595615059559,,,,,,,,ok,
n,1000000,3,22191,cpu_8,1000000,250,64,10,35.54817986488342,1.0,1.0,,,,,,,,ok,
n,1000000,3,22191,cpu_16,1000000,250,64,10,19.79170250892639,0.947193972347987,0.9626855372606032,,,,,,,,ok,
n,1000000,3,22191,cpu_36,1000000,250,64,10,13.447677612304688,0.9184441526166298,0.9495819785268576,,,,,,,,ok,
n,1000000,4,22192,cpu_4,1000000,250,64,10,68.32590508460999,0.9355528409268437,0.9561775040122659,,,,,,,,ok,
n,1000000,4,22192,cpu_8,1000000,250,64,10,35.577168703079224,0.9356548219574028,0.9568657479287194,,,,,,,,ok,
n,1000000,4,22192,cpu_16,1000000,250,64,10,20.040441274642944,1.0,1.0,,,,,,,,ok,
n,1000000,4,22192,cpu_36,1000000,250,64,10,13.447832822799683,0.9704451698098542,0.9778170997637219,,,,,,,,ok,
n,5000000,0,22188,cpu_4,5000000,250,64,10,344.4744849205017,1.0,1.0,,,,,,,,ok,
n,5000000,0,22188,cpu_8,5000000,250,64,10,179.6121678352356,1.0,1.0,,,,,,,,ok,
n,5000000,0,22188,cpu_16,5000000,250,64,10,101.8122935295105,0.8774560430934499,0.9571257229439595,,,,,,,,ok,
n,5000000,0,22188,cpu_36,5000000,250,64,10,66.93390727043152,0.8382017884178491,0.9332760147304011,,,,,,,,ok,
n,5000000,1,22189,cpu_4,5000000,250,64,10,345.3023827075958,1.0,1.0,,,,,,,,ok,
